ID,Center Name,ServeLesbian,ServeGay,ServeBisexual,ServeTransgender,GeoCoverage,WebPresence,WebAddress,NGOStatus,InOperation,SiteType,OrgType,PhisicalSpace,SpaceType,Street Address,City,State,Zip,SHServices,HealthScreenings,CTServices,SupportServices,BlackSpecific,LatinoSpecific,APISpecific,MaleSpecific,FemaleSpecific,GenerationSpecific,Source,CommunityCenter,CommHealthCenter,,,,,,
027,Los Angeles LGBT Center - Mi Centro,1,1,1,1,2,1,http://www.lalgbtcenter.org,1,1,2,0,1,1,553 South Clarence Street,Los Angeles,California,90033,1,0,0,1,0,1,0,0,0,0,1,1,1,,,,,,
028,Los Angeles LGBT Center - Highland Annex,1,1,1,1,2,1,http://www.lalgbtcenter.org,1,1,2,0,1,1,1220 North Highland Avenue,Los Angeles,California,90038,0,1,1,0,0,0,0,0,0,1,1,1,1,,,,,,
029,Los Angeles LGBT Center - WeHo,1,1,1,1,2,1,http://www.lalgbtcenter.org,1,1,2,0,1,1,8745 Santa Monica Boulevard,West Hollywood,California,90069,1,1,0,0,0,0,0,0,0,0,1,1,1,,,,,,
030,Los Angeles LGBT Center - McDonald/Wright Building,1,1,1,1,2,1,http://www.lalgbtcenter.org,1,1,2,0,1,1,1625 N. Schrader Boulevard,Los Angeles,California,90028,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,
031,Los Angeles LGBT Center - The Village at Ed Gould Plaza,1,1,1,1,2,1,http://www.lalgbtcenter.org,1,1,2,0,1,1,1125 North McCadden Place,Los Angeles,California,90038,1,1,1,0,0,0,0,0,0,0,1,1,1,,,,,,
032,Like Me Organization - LIKEME Lighthouse,1,1,1,1,2,1,http://www.likemelighthouse.org/,1,1,1,0,1,1,3911 Main Street,Kansas City,Missouri,64111,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,
033,Q Center - Queens LGBT Community Center,1,1,1,1,2,1,http://lgbtnetwork.org/,0,1,1,0,1,1,58-20 Little Neck Parkway,Little Neck,New York,11362,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
034,LIGALY - Long Island LGBT Community Center,1,1,1,1,2,1,http://lgbtnetwork.org/,1,1,2,0,1,1,20 Crossways Park Drive North,Woodbury,New York,11797,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
035,LIGALY - The Center at Bay Shore,1,1,1,1,2,1,http://lgbtnetwork.org/,1,1,2,0,1,1,34 Park Avenue,Bay Shore,New York,11706,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
036,LIGALY - The Hamptons LGBT Center,1,1,1,1,2,1,http://lgbtnetwork.org/,1,1,2,0,1,1,44 Union Street,Sag Harbor,New York,11963,1,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,
037,Memphis Gay and Lesbian Community Center,1,1,1,1,2,1,http://mglcc.org/,1,1,1,0,1,1,892 South Cooper Street,Memphis,Tennessee,38104,0,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,
038,Metro Wellness & Community Center - St. Petersburg,1,1,1,1,2,1,www.metrotampabay.org,1,1,2,0,1,1,3251 3rd Avenue North,St. Petersburg,Florida,33713,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
039,Metro Wellness & Community Center - Tampa,1,1,1,1,2,1,www.metrotampabay.org,1,1,2,0,1,1,1315 East 7th Avenue,Tampa,Florida,33605,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
040,Metro Wellness & Community Center - New Port Richey,1,1,1,1,2,1,www.metrotampabay.org,1,1,2,0,1,1,4747 US Highway 19,New Port Richey,Florida,34652,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
041,Milwaukee LGBT Community Center,1,1,1,1,2,1,http://www.mkelgbt.org/,0,1,1,0,1,1,1110 North Market Street,Milwaukee,Wisconsin,53202,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,
042,North County LGBTQ Resource Center,1,1,1,1,2,1,http://www.ncresourcecenter.org/,1,1,1,0,1,1,510 North Coast Highway,Oceanside,California,92054,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
043,NWA Center for Equality,1,1,1,1,2,1,http://nwaequality.org/,0,1,1,0,1,1,179 North Church Avenue,Fayetteville,Arkansas,72701,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
044,Oasis Youth Center,1,1,1,1,2,1,http://www.oasisyouthcenter.org/,1,1,1,1,1,2,2215 Pacific Avenue,Tacoma,Washington,98402,1,1,0,0,0,0,0,0,0,1,1,1,1,,,,,,
045,Free2Be LGBTQ Resource Center,1,1,1,1,2,1,http://free2be.org/,1,1,1,0,1,1,2004 Poole Drive,Huntsville,Alabama,35801,0,0,1,0,0,0,0,0,0,1,1,1,1,,,,,,
046,OutCenter,1,1,1,1,2,1,http://www.outcenter.org/,1,1,1,0,1,1,132 Water Street,Benton Harbor,Michigan,49022,0,0,1,1,0,0,0,0,0,0,1,1,1,,,,,,
047,Outright Vermont,1,1,1,1,1,1,http://www.outrightvt.org/,1,1,1,0,1,1,241 North Winooski Avenue,Burlington,Vermont,05401,1,1,0,0,0,0,0,0,0,1,1,1,1,,,,,,
048,pacific center for human growth,1,1,1,1,2,1,http://pacificcenter.org/,1,1,1,0,1,1,2712 Telegraph Avenue,Berkeley,California,94705,0,0,1,1,0,0,0,0,0,0,1,1,1,,,,,,
049,Pride Center of the Capital Region,1,1,1,1,2,1,http://www.capitalpridecenter.org/,1,1,1,0,1,1,332 Hudson Avenue,Albany,New York,12210,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,
050,Q Center,1,1,1,1,2,1,http://www.pdxqcenter.org/,1,1,1,0,1,1,4115 Mississippi Avenue,Portland,Oregon,97217,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,
051,Rainbow Serenity,1,1,1,1,2,1,http://www.rainbowserenity.org/,1,1,0,0,0,0,9999,Chicago,Illinois,9999,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
052,Resource Center Dallas - John Thomas LGBT Community Center,1,1,1,1,2,1,www.rcdallas.org,1,1,2,0,1,1,2701 Reagan Street,Dallas,Texas,75219,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,
053,Resource Center Dallas - ilume,1,1,1,0,2,1,www.rcdallas.org,1,1,2,0,1,1,4123 Cedar Springs Road,Dallas,Texas,75219,1,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,
